"Senator1","Senator2","Weight2017"
"all000010","all000030",0.891402714932127
"all000010","all000186",0.940909090909091
"all000010","all000101",0.988188976377953
"all000010","all000144",0.979381443298969
"all000010","all000002",0.923404255319149
"all000010","all000021",0.969957081545064
"all000010","all000028",0.819512195121951
"all000010","all000025",0.829383886255924
"all000010","all000022",0.947976878612717
"all000010","all000165",0.987012987012987
"all000010","all000015",0.967479674796748
"all000010","all000019",0.98695652173913
"all000010","all000032",0.991341991341991
"all000010","all000011",0.923857868020305
"all000010","all000024",0.854054054054054
"all000010","all000026",0.91358024691358
"all000010","all000174",0.969387755102041
"all000010","all000033",0.96
"all000010","all000169",0.973451327433628
"all000010","all000023",0.987755102040816
"all000010","all000006",0.987421383647799
"all000010","all000027",0.97119341563786
"all000035","all000005",0.96551724137931
"all000035","all000179",0.971428571428571
"all000035","all000030",0.863414634146341
"all000035","all000186",0.950226244343891
"all000035","all000101",0.971311475409836
"all000035","all000144",0.995260663507109
"all000035","all000002",0.904977375565611
"all000035","all000021",0.964285714285714
"all000035","all000028",0.815533980582524
"all000035","all000025",0.822660098522167
"all000035","all000022",0.951871657754011
"all000035","all000165",0.986486486486487
"all000035","all000015",0.946058091286307
"all000035","all000019",0.986547085201794
"all000035","all000032",0.972850678733032
"all000035","all000011",0.904761904761905
"all000035","all000024",0.832369942196532
"all000035","all000026",0.886792452830189
"all000035","all000174",0.946808510638298
"all000035","all000033",0.955555555555556
"all000035","all000169",0.95260663507109
"all000035","all000023",0.970833333333333
"all000035","all000006",0.993150684931507
"all000035","all000027",0.958847736625514
"all000005","all000179",0.968911917098446
"all000005","all000030",0.83125
"all000005","all000186",0.921212121212121
"all000005","all000101",0.973404255319149
"all000005","all000144",0.970588235294118
"all000005","all000002",0.888888888888889
"all000005","all000021",0.977653631284916
"all000005","all000028",0.756944444444444
"all000005","all000025",0.79375
"all000005","all000022",0.951219512195122
"all000005","all000165",0.975460122699387
"all000005","all000015",0.962162162162162
"all000005","all000019",0.977011494252874
"all000005","all000032",0.988095238095238
"all000005","all000011",0.911764705882353
"all000005","all000024",0.792857142857143
"all000005","all000026",0.879310344827586
"all000005","all000174",0.986301369863014
"all000005","all000033",0.954887218045113
"all000005","all000169",0.97752808988764
"all000005","all000023",0.968586387434555
"all000005","all000006",0.983606557377049
"all000005","all000027",0.98876404494382
"all000179","all000030",0.885185185185185
"all000179","all000186",0.941176470588235
"all000179","all000101",0.973684210526316
"all000179","all000144",0.971074380165289
"all000179","all000002",0.91578947368421
"all000179","all000021",0.967741935483871
"all000179","all000028",0.814516129032258
"all000179","all000025",0.829457364341085
"all000179","all000022",0.954545454545455
"all000179","all000165",0.978494623655914
"all000179","all000015",0.960264900662252
"all000179","all000019",0.974264705882353
"all000179","all000032",0.989208633093525
"all000179","all000011",0.910313901345291
"all000179","all000024",0.822115384615385
"all000179","all000026",0.878787878787879
"all000179","all000174",0.969957081545064
"all000179","all000033",0.976303317535545
"all000179","all000169",0.962825278810409
"all000179","all000023",0.97682119205298
"all000179","all000006",0.984210526315789
"all000179","all000027",0.962328767123288
"all000030","all000186",0.848484848484849
"all000030","all000101",0.885931558935361
"all000030","all000144",0.852941176470588
"all000030","all000002",0.958847736625514
"all000030","all000021",0.888888888888889
"all000030","all000028",0.976076555023923
"all000030","all000025",0.943965517241379
"all000030","all000022",0.823863636363636
"all000030","all000165",0.88135593220339
"all000030","all000015",0.863970588235294
"all000030","all000019",0.904166666666667
"all000030","all000032",0.885593220338983
"all000030","all000011",0.955056179775281
"all000030","all000024",0.972527472527473
"all000030","all000026",0.846625766871166
"all000030","all000174",0.836633663366337
