"","VotesAgainst2017","VotesAgainst2015","VotesAgainst2013","VotesAgainst2011"
"mtl000004",NA,0.142857142857143,0.197975253093363,0.172482552342971
"mtl000381",0.0892641737032569,NA,NA,NA
"mtl000015",NA,NA,NA,0.29045643153527
"mtl000030",NA,NA,0.192,0.166
"mtl000017",NA,NA,NA,0.314606741573034
"mtl000383",0.10440251572327,NA,NA,NA
"mtl000047",NA,NA,NA,0.351521511017838
"mtl000402",0.221064814814815,NA,NA,NA
"mtl000137",0.242890995260664,0.310824230387289,NA,NA
"mtl000035",NA,NA,NA,0.187071498530852
"mtl000005",NA,NA,0.302521008403361,0.371457489878542
"mtl000171",0.087067861715749,0.18041804180418,0.163383545770568,NA
"mtl000275",0.220149253731343,0.268973214285714,NA,NA
"mtl000129",NA,0.195348837209302,0.189755529685681,NA
"mtl000001",NA,NA,0.141852286049238,0.172827172827173
"mtl000090",0.240628778718259,0.239130434782609,NA,NA
"mtl000213",0.313559322033898,0.307349665924276,NA,NA
"mtl000019",NA,NA,0.207718501702611,0.193103448275862
"mtl000036",NA,NA,0.199522102747909,0.209660842754368
"mtl000247",NA,0.258465011286682,NA,NA
"mtl000027",0.103267973856209,NA,0.220319634703196,0.182370820668693
"mtl000142",NA,0.222222222222222,0.184615384615385,NA
"mtl000280",0.187425860023725,0.155021834061135,NA,NA
"mtl000089",0.120987654320988,0.143931256713212,NA,NA
"mtl000020",NA,NA,0.251388888888889,0.316733067729084
"mtl000118",0.156670746634027,NA,NA,NA
"mtl000006",NA,NA,NA,0.318458417849899
"mtl000008",NA,0.122941822173436,0.140845070422535,0.133810010214505
"mtl000359",0.0885750962772786,NA,NA,NA
"mtl000014",NA,NA,NA,0.295760082730093
"mtl000043",0.209964412811388,0.267094017094017,0.235838150289017,0.226824457593688
"mtl000107",0.247894103489771,0.248630887185104,NA,NA
"mtl000032",NA,NA,0.128386336866902,0.147670961347869
"mtl000011",NA,NA,NA,0.399592252803262
"mtl000051",0.100478468899522,0.129273504273504,NA,NA
"mtl000052",NA,0.205291005291005,0.160975609756098,NA
"mtl000040",NA,NA,0.269729093050648,0.347783251231527
"mtl000049",NA,NA,0.329199549041714,0.275827482447342
"mtl000168",0.251764705882353,0.311745334796926,0.304545454545455,NA
"mtl000289",0.192010309278351,0.230769230769231,NA,NA
"mtl000048",NA,0.25962596259626,0.210462287104623,0.359840954274354
"mtl000387",0.279816513761468,NA,NA,NA
"mtl000354",0.041388518024032,NA,NA,NA
"mtl000033",NA,NA,0.225165562913907,0.176049129989765
"mtl000029",NA,NA,NA,0.160560344827586
"mtl000161",0.270886075949367,0.266004415011038,0.243575418994413,NA
"mtl000385",0.0688311688311688,NA,NA,NA
"mtl000037",NA,NA,NA,0.207135777998018
"mtl000038",NA,0.277426160337553,0.294600938967136,0.34944612286002
"mtl000159",0.246428571428571,0.273012552301255,0.231386025200458,NA
"mtl000046",NA,NA,0.308626974483597,0.319878910191726
"mtl000003",NA,NA,NA,0.274336283185841
"mtl000066",0.131548311990687,0.158549222797927,NA,NA
