"Senator1","Senator2","Weight2003","Weight2004","Weight2005","Weight2006","Weight2007","Weight2008","Weight2009","Weight2010","Weight2011","Weight2012","Weight2013","Weight2014","Weight2015","Weight2016","Weight2017"
"sheehan","conley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981001727115717,0.984375,1,0.97984496124031,0.983606557377049
"sheehan","hodgson",NA,NA,NA,NA,NA,NA,NA,NA,0.913978494623656,0.929203539823009,0.899470899470899,0.976143141153082,NA,NA,NA
"sheehan","pagliarini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.797276853252648,NA
"sheehan","gallo",0.977777777777778,0.970627503337784,0.964169381107492,0.985372340425532,0.959100204498977,0.966165413533835,0.935085007727975,0.960334029227557,0.985743380855397,0.988662131519274,0.977941176470588,0.980430528375734,0.997395833333333,0.983076923076923,1
"sheehan","mcburney",0.970276008492569,0.956958393113343,0.970183486238532,0.98,0.962857142857143,0.976623376623377,0.918095238095238,0.928571428571429,NA,NA,NA,NA,NA,NA,NA
"sheehan","nesselbush",NA,NA,NA,NA,NA,NA,NA,NA,0.984126984126984,0.98695652173913,0.975970425138632,0.982352941176471,0.997481108312343,0.98292220113852,0.982142857142857
"sheehan","weed",0.977072310405644,0.972332015810277,0.961783439490446,0.988950276243094,0.968487394957983,0.963833634719711,0.94205298013245,0.960687960687961,0.98422090729783,0.988399071925754,0.977777777777778,0.984405458089669,1,0.983443708609272,0.970588235294118
"sheehan","levesque",0.968365553602812,0.966442953020134,0.947457627118644,0.97962154294032,0.977401129943503,0.957044673539519,0.922712933753943,0.966173361522199,NA,NA,NA,NA,NA,NA,NA
"sheehan","miller",NA,NA,NA,NA,0.964566929133858,0.966490299823633,0.921174652241113,0.960954446854664,0.970464135021097,0.986784140969163,0.971223021582734,0.971830985915493,1,0.981034482758621,0.983333333333333
"sheehan","coyne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995037220843672,0.984639016897081,0.983050847457627
"sheehan","paolino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"sheehan","gee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.950980392156863,0.924242424242424,0.95
"sheehan","raptakis",0.955414012738854,0.965722801788376,0.951851851851852,0.981788079470199,0.971830985915493,0.959915611814346,0.942271880819367,0.941717791411043,NA,NA,0.957393483709273,0.979959919839679,0.986033519553073,0.975047984644914,1
"sheehan","ciccone",0.970790378006873,0.961290322580645,0.941281138790036,0.980922098569157,0.966666666666667,0.944444444444444,0.944866920152091,0.918367346938776,0.959905660377358,0.977099236641221,0.965447154471545,0.968421052631579,1,0.97626582278481,0.982758620689655
"sheehan","lenihan",0.981378026070764,0.979757085020243,0.967128027681661,0.988603988603989,0.959227467811159,0.964618249534451,0.944636678200692,0.946236559139785,NA,NA,NA,NA,NA,NA,NA
"sheehan","shibley",NA,NA,NA,NA,NA,NA,NA,NA,0.89816700610998,0.915217391304348,NA,NA,NA,NA,NA
"sheehan","goldin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.968253968253968,0.975257731958763,0.99749373433584,0.980738362760835,0.981818181818182
"sheehan","goodwin",0.976950354609929,0.957823129251701,0.956026058631922,0.978723404255319,0.962886597938144,0.962962962962963,0.933006535947712,0.955555555555556,0.98068669527897,0.986928104575163,0.97598627787307,0.984466019417476,1,0.984126984126984,0.981132075471698
"sheehan","kettle",NA,NA,NA,NA,NA,NA,NA,NA,0.883399209486166,0.91792656587473,0.921635434412266,0.961013645224172,0.951219512195122,0.938488576449912,0.950819672131147
"sheehan","lombardo",NA,NA,NA,NA,NA,NA,NA,NA,0.98019801980198,0.980088495575221,0.971631205673759,0.98605577689243,1,0.985130111524164,0.983606557377049
"sheehan","algiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943957968476357,0.988188976377953,1,0.949152542372881,0.966666666666667
"sheehan","satchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966312056737589,0.982035928143713,0.99492385786802,0.986024844720497,0.983333333333333
"sheehan","pearson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971631205673759,0.986193293885602,0.997311827956989,0.976958525345622,0.983333333333333
"sheehan","ponte",0.967935871743487,0.949685534591195,0.958558558558559,0.978632478632479,0.963157894736842,0.955729166666667,0.932038834951456,0.956120092378753,0.981859410430839,0.985294117647059,0.974509803921569,0.982456140350877,1,0.984152139461173,0.980392156862745
