"Senator1","Senator2","Weight2017","Weight2015","Weight2013","Weight2011"
"MTL000363","MTL000163",NA,NA,NA,NA
"MTL000363","MTL000390",NA,NA,NA,NA
"MTL000363","MTL000215",NA,NA,NA,NA
"MTL000363","MTL000044",0.690104166666667,NA,NA,NA
"MTL000363","MTL000362",NA,NA,NA,NA
"MTL000363","MTL000059",NA,NA,NA,NA
"MTL000363","MTL000117",NA,NA,NA,NA
"MTL000363","MTL000316",NA,NA,NA,NA
"MTL000363","MTL000072",NA,NA,NA,NA
"MTL000363","MTL000079",NA,NA,NA,NA
"MTL000363","MTL000190",NA,NA,NA,NA
"MTL000363","MTL000366",NA,NA,NA,NA
"MTL000363","MTL000096",NA,NA,NA,NA
"MTL000363","MTL000218",NA,NA,NA,NA
"MTL000363","MTL000400",NA,NA,NA,NA
"MTL000363","MTL000214",NA,NA,NA,NA
"MTL000363","MTL000158",NA,NA,NA,NA
"MTL000363","MTL000177",NA,NA,NA,NA
"MTL000363","MTL000256",NA,NA,NA,NA
"MTL000363","MTL000197",NA,NA,NA,NA
"MTL000363","MTL000045",NA,NA,NA,NA
"MTL000363","MTL000120",NA,NA,NA,NA
"MTL000363","MTL000357",NA,NA,NA,NA
"MTL000363","MTL000199",NA,NA,NA,NA
"MTL000363","MTL000381",0.863225806451613,NA,NA,NA
"MTL000363","MTL000142",NA,NA,NA,NA
"MTL000363","MTL000195",NA,NA,NA,NA
"MTL000363","MTL000179",NA,NA,NA,NA
"MTL000363","MTL000367",NA,NA,NA,NA
"MTL000363","MTL000290",NA,NA,NA,NA
"MTL000363","MTL000116",NA,NA,NA,NA
"MTL000363","MTL000397",NA,NA,NA,NA
"MTL000363","MTL000182",NA,NA,NA,NA
"MTL000363","MTL000119",NA,NA,NA,NA
"MTL000363","MTL000088",NA,NA,NA,NA
"MTL000363","MTL000138",NA,NA,NA,NA
"MTL000363","MTL000280",0.857707509881423,NA,NA,NA
"MTL000363","MTL000181",NA,NA,NA,NA
"MTL000363","MTL000148",NA,NA,NA,NA
"MTL000363","MTL000074",NA,NA,NA,NA
"MTL000363","MTL000279",NA,NA,NA,NA
"MTL000363","MTL000225",NA,NA,NA,NA
"MTL000363","MTL000132",NA,NA,NA,NA
"MTL000363","MTL000011",NA,NA,NA,NA
"MTL000363","MTL000061",NA,NA,NA,NA
"MTL000363","MTL000180",NA,NA,NA,NA
"MTL000363","MTL000377",NA,NA,NA,NA
"MTL000363","MTL000071",NA,NA,NA,NA
"MTL000363","MTL000087",NA,NA,NA,NA
"MTL000363","MTL000005",NA,NA,NA,NA
"MTL000363","MTL000070",NA,NA,NA,NA
"MTL000363","MTL000161",0.873579545454545,NA,NA,NA
"MTL000363","MTL000229",NA,NA,NA,NA
"MTL000363","MTL000064",NA,NA,NA,NA
"MTL000363","MTL000334",NA,NA,NA,NA
"MTL000363","MTL000073",NA,NA,NA,NA
"MTL000363","MTL000275",0.693877551020408,NA,NA,NA
"MTL000363","MTL000069",NA,NA,NA,NA
"MTL000363","MTL000217",NA,NA,NA,NA
"MTL000363","MTL000113",NA,NA,NA,NA
"MTL000363","MTL000356",NA,NA,NA,NA
"MTL000363","MTL000093",NA,NA,NA,NA
"MTL000363","MTL000128",NA,NA,NA,NA
"MTL000363","MTL000090",0.871127633209418,NA,NA,NA
"MTL000363","MTL000211",NA,NA,NA,NA
"MTL000363","MTL000276",NA,NA,NA,NA
"MTL000363","MTL000016",NA,NA,NA,NA
"MTL000363","MTL000140",NA,NA,NA,NA
"MTL000363","MTL000067",NA,NA,NA,NA
"MTL000363","MTL000017",NA,NA,NA,NA
"MTL000363","MTL000046",NA,NA,NA,NA
"MTL000363","MTL000304",NA,NA,NA,NA
"MTL000363","MTL000324",NA,NA,NA,NA
"MTL000363","MTL000354",0.846050870147256,NA,NA,NA
"MTL000363","MTL000303",NA,NA,NA,NA
"MTL000363","MTL000029",NA,NA,NA,NA
"MTL000363","MTL000380",NA,NA,NA,NA
"MTL000363","MTL000392",NA,NA,NA,NA
"MTL000363","MTL000004",NA,NA,NA,NA
"MTL000363","MTL000030",NA,NA,NA,NA
"MTL000363","MTL000085",NA,NA,NA,NA
"MTL000363","MTL000024",NA,NA,NA,NA
"MTL000363","MTL000008",NA,NA,NA,NA
"MTL000363","MTL000130",NA,NA,NA,NA
"MTL000363","MTL000173",NA,NA,NA,NA
"MTL000363","MTL000050",NA,NA,NA,NA
"MTL000137","MTL000405",NA,NA,NA,NA
"MTL000137","MTL000372",NA,NA,NA,NA
"MTL000137","MTL000034",NA,0.845383759733037,NA,NA
"MTL000137","MTL000183",NA,NA,0.843564356435644,NA
"MTL000137","MTL000374",NA,NA,NA,NA
"MTL000137","MTL000168",0.917843388960205,0.863953488372093,NA,NA
"MTL000137","MTL000010",0.647272727272727,0.572115384615385,NA,NA
"MTL000137","MTL000409",0.5893536121673,NA,NA,NA
"MTL000137","MTL000019",NA,NA,NA,NA
"MTL000137","MTL000086",NA,NA,NA,0.58041958041958
"MTL000137","MTL000032",NA,NA,NA,NA
